country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time
ארצות הברית,קונסטליישן ברנדס,STZ,3.22,3.41  /,2.52B,2.56B  /,30.83B,לאחר סגירת המסחר
ארצות הברית,Sodexo PK,SDXAY,--,--  /,7.21B,--  /,9.16B,לפני פתיחת המסחר
ארצות הברית,MSC אינדסטריאל דיירקט,MSM,1.08,1.03  /,971.1M,970.26M  /,5.04B,לפני פתיחת המסחר
ארצות הברית,גרינבריר קומפניז,GBX,1.86,1.17  /,842.7M,885.61M  /,1.79B,לאחר סגירת המסחר
ארצות הברית,Radius Recycling,RDUS,-0.39,-0.48  /,726.99M,696.22M  /,838.12M,לפני פתיחת המסחר
ארצות הברית,טק-טרגט,TTGT,-7.36,0.3613  /,103.89M,54.04M  /,496.13M,לאחר סגירת המסחר
ארצות הברית,Cybin,CYBN,-1.46,-0.0248  /,--,0.00  /,155.25M,
ארצות הברית,MedMira Inc,MMIRF,--,--  /,59.12K,--  /,38.75M,
ארצות הברית,Northann,NCL,-0.11,--  /,4.31M,--  /,16.13M,
ארצות הברית,Silver Elephant Mining Corp,SILEF,-0.09,--  /,--,--  /,7.24M,
ארצות הברית,סלינה,SLNAF,--,--  /,--,--  /,271.83K,
ארצות הברית,Suic Worldwide Holdings,SUIC,-0.02,--  /,-90K,--  /,11.40K,
